Rxn name	Formula	Gene-reaction association	LB	UB	Objective
ASPCT	cbp_c + asp__L_c  -> cbasp_c + h_c + pi_c 	YJL130C	  0.00	999999.00	  0.00
3MOBDC	3mob_c + h_c  -> 2mppal_c + co2_c 	YLR134W or YLR044C or ( YGR087C and YGR087C )	  0.00	999999.00	  0.00
ASPGLU2m	asp__L_m + glu__L_c  -> asp__L_c + glu__L_m 	YPR021C	  0.00	999999.00	  0.00
ASPGLUtp	asp__L_c + glu__L_x  <=> asp__L_x + glu__L_c 		-999999.00	999999.00	  0.00
ASPK	asp__L_c + atp_c  -> 4pasp_c + adp_c 	YER052C	  0.00	999999.00	  0.00
ASPOcm	asp__L_c + fad_m  -> fadh2_m + iasp_c + h_c 		  0.00	999999.00	  0.00
CBASPtn	cbasp_n  <=> cbasp_c 		-999999.00	999999.00	  0.00
CBPS	2 atp_c + gln__L_c + h2o_c + hco3_c  -> 2 adp_c + cbp_c + glu__L_c + 2 h_c + pi_c 	( YJR109C and YOR303W ) or YJL130C	  0.00	999999.00	  0.00
CBPtn	cbp_c  <=> cbp_n 		-999999.00	999999.00	  0.00
CCP2m	2 focytc_m + h2o2_m  -> 2 ficytc_m + 2 h2o_m 	( YKR066C and YJR048W ) or ( YKR066C and YEL039C )	  0.00	999999.00	  0.00
CDPDGPm_SC	0.01 cdpdag_SC_m + glyc3p_m  <=> cmp_m + h_m + 0.01 pgp_SC_m 	YCL004W	-999999.00	999999.00	  0.00
ASPTA	akg_c + asp__L_c  <=> glu__L_c + oaa_c 	YLR027C	-999999.00	999999.00	  0.00
ASPTAm	akg_m + asp__L_m  <=> glu__L_m + oaa_m 	YKL106W	-999999.00	999999.00	  0.00
3MOBtm	3mob_c  <=> 3mob_m 		-999999.00	999999.00	  0.00
ASPTAp	akg_x + asp__L_x  <=> glu__L_x + oaa_x 	YLR027C	-999999.00	999999.00	  0.00
ASPTRS	asp__L_c + atp_c + trnaasp_c  -> amp_c + asptrna_c + ppi_c 	YLL018C	  0.00	999999.00	  0.00
ASPTRSm	asp__L_m + atp_m + trnaasp_m  -> amp_m + asptrna_m + ppi_m 	YPL104W	  0.00	999999.00	  0.00
CDPtn	cdp_c  <=> cdp_n 		-999999.00	999999.00	  0.00
CER1_24ter	cer1_24_c  <=> cer1_24_r 		-999999.00	999999.00	  0.00
CER1_26ter	cer1_26_c  <=> cer1_26_r 		-999999.00	999999.00	  0.00
CER2_24ter	cer2_24_c  <=> cer2_24_r 		-999999.00	999999.00	  0.00
CER2_26ter	cer2_26_c  <=> cer2_26_r 		-999999.00	999999.00	  0.00
ASPt2m	asp__L_c + h_c  <=> asp__L_m + h_m 		-999999.00	999999.00	  0.00
ASPt2n	asp__L_c + h_c  <=> asp__L_n + h_n 		-999999.00	999999.00	  0.00
CERASE124er	cer1_24_r + coa_r + h_r  -> sphgn_r + ttccoa_r 	YPL087W	  0.00	999999.00	  0.00
3MOPDC	3mop_c + h_c  -> 2mbald_c + co2_c 	YLR044C or YDL080C or YLR134W or YGR087C or YDR380W	  0.00	999999.00	  0.00
CERASE126er	cer1_26_r + coa_r + h_r  -> hexccoa_r + sphgn_r 	YPL087W	  0.00	999999.00	  0.00
ASPt2r	asp__L_e + h_e  <=> asp__L_c + h_c 	YFL055W or YKR039W or YPL265W	-999999.00	999999.00	  0.00
ASPt5n	asp__L_n  <=> asp__L_c 		-999999.00	999999.00	  0.00
ASPt7	asp__L_v + h_v  -> asp__L_c + h_c 	YER119C	  0.00	999999.00	  0.00
CERASE224er	cer2_24_r + coa_r + h_r  -> psphings_r + ttccoa_r 	YPL087W or YBR183W	  0.00	999999.00	  0.00
CERASE226er	cer2_26_r + coa_r + h_r  -> hexccoa_r + psphings_r 	YPL087W or YBR183W	  0.00	999999.00	  0.00
ATHRDHr	athr__L_c + nadp_c  <=> 2aobut_c + h_c + nadph_c 	YMR226C	-999999.00	999999.00	  0.00
3MOPt	3mop_e  <=> 3mop_c 		-999999.00	999999.00	  0.00
ATP2tp_H	amp_x + atp_c + h_x  -> atp_x + amp_c + h_c 	YPR128C	  0.00	999999.00	  0.00
ATPATF1	adp_c + atp_c + h_c  -> ap4a_c + pi_c 	YDR530C	  0.00	999999.00	  0.00
ATPATF2	adp_c + gtp_c + h_c  -> ap4g_c + pi_c 	YCL050C	  0.00	999999.00	  0.00
ATPATF3	gdp_c + gtp_c + h_c  -> gp4g_c + pi_c 	YCL050C	  0.00	999999.00	  0.00
ATPH1	atp_c + 2 h2o_c  -> amp_c + 2 h_c + 2 pi_c 	YER005W	  0.00	999999.00	  0.00
ATPM	atp_c + h2o_c  -> adp_c + h_c + pi_c 		  1.00	  1.00	  0.00
CERH124_copy1	cer1_24_c + h_c + nadph_c + o2_c  -> cer2_24_c + h2o_c + nadp_c 	YDR297W	  0.00	999999.00	  0.00
CERH126_copy1	cer1_26_c + h_c + nadph_c + o2_c  -> cer2_26_c + h2o_c + nadp_c 	YDR297W	  0.00	999999.00	  0.00
CERS124	sphgn_c + ttccoa_c  -> cer1_24_c + coa_c + h_c 	YKL008C or YHL003C	  0.00	999999.00	  0.00
CERS124er	sphgn_r + ttccoa_r  -> cer1_24_r + coa_r + h_r 	YHL003C or YKL008C or YPL087W	  0.00	999999.00	  0.00
CERS126	hexccoa_c + sphgn_c  -> cer1_26_c + coa_c + h_c 	YKL008C or YHL003C	  0.00	999999.00	  0.00
CERS126er	hexccoa_r + sphgn_r  -> cer1_26_r + coa_r + h_r 	YHL003C or YKL008C or YPL087W	  0.00	999999.00	  0.00
CERS224	psphings_c + ttccoa_c  -> cer2_24_c + coa_c + h_c 	YKL008C or YHL003C	  0.00	999999.00	  0.00
CERS224er	psphings_r + ttccoa_r  -> cer2_24_r + coa_r + h_r 	YHL003C or YKL008C or YBR183W	  0.00	999999.00	  0.00
ATPPRT	atp_c + prpp_c  -> ppi_c + prbatp_c 	YER055C	  0.00	999999.00	  0.00
ATPS	atp_c + h2o_c  -> adp_c + h_e + pi_c 	( YCR024C_A and YEL017C_A and YGL008C ) or ( YCR024C_A and YEL017C_A and YPL036W )	  0.00	999999.00	  0.00
ATPS3g	adp_g + 3 h_c + pi_g  -> atp_g + h2o_g + 2 h_g 	YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C_A and YKL080W and YLR447C and YMR054W and YOR332W and YPL234C and YPR036W	  0.00	999999.00	  0.00
ATPS3m	adp_m + 3 h_c + pi_m  -> atp_m + h2o_m + 2 h_m 	( Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDL181W and YDR298C and YDR377W and YJR121W and YKL016C and YLR295C and YML081C_A and YPL078C and YPL271W ) or ( Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDL181W and YDR298C and YDR322C_A and YDR377W and YJR121W and YKL016C and YLR295C and YML081C_A and YOL077W_A and YPL078C and YPL271W and YPR020W )	  0.00	999999.00	  0.00
CERS226	hexccoa_c + psphings_c  -> cer2_26_c + coa_c + h_c 	YKL008C or YHL003C	  0.00	999999.00	  0.00
CERS226er	hexccoa_r + psphings_r  -> cer2_26_r + coa_r + h_r 	YHL003C or YKL008C or YBR183W	  0.00	999999.00	  0.00
CERH124_copy2	cer1_24_c + h_c + nadph_c + o2_c  -> cer2_24_c + h2o_c + nadp_c 	YMR272C	  0.00	999999.00	  0.00
CERH126_copy2	cer1_26_c + h_c + nadph_c + o2_c  -> cer2_26_c + h2o_c + nadp_c 	YMR272C	  0.00	999999.00	  0.00
CITtbm	cit_c + pep_m  <=> cit_m + pep_c 	YBR291C	-999999.00	999999.00	  0.00
3MOPtm	3mop_c  <=> 3mop_m 		-999999.00	999999.00	  0.00
CITtcm	cit_c + icit_m  <=> cit_m + icit_c 	YBR291C	-999999.00	999999.00	  0.00
CERS324	cer2_24_c + h_c + nadph_c + o2_c  -> cer3_24_c + h2o_c + nadp_c 	YMR272C	  0.00	999999.00	  0.00
CERS326	cer2_26_c + h_c + nadph_c + o2_c  -> cer3_26_c + h2o_c + nadp_c 	YMR272C	  0.00	999999.00	  0.00
CHLPCTD	cholp_c + ctp_c + h_c  -> cdpchol_c + ppi_c 	YGR202C	  0.00	999999.00	  0.00
CHLSTI	amet_c + o2_c + zymst_c  -> ahcys_c + ergtetrol_c + 2 h2o_c + h_c 		  0.00	999999.00	  0.00
CLPNSm_SC	0.01 cdpdag_SC_m + 0.01 pg_SC_m  -> 0.01 clpn_SC_m + cmp_m + h_m 	YDL142C	  0.00	999999.00	  0.00
3OPHB5Hm	3ophb_5_c + 0.5 o2_c  -> 3dh5hpb_c 		  0.00	999999.00	  0.00
CMPN	cmp_c + h2o_c  -> csn_c + r5p_c 		  0.00	999999.00	  0.00
CHLt2	chol_e + h_e  -> chol_c + h_c 	YGL077C	  0.00	999999.00	  0.00
CHOLK	chol_c + atp_c  -> adp_c + cholp_c + h_c 	YLR133W	  0.00	999999.00	  0.00
CHORM	chor_c  -> pphn_c 	YPR060C	  0.00	999999.00	  0.00
CHORS	3psme_c  -> chor_c + pi_c 	YGL148W	  0.00	999999.00	  0.00
CHRPL	chor_c  -> 4hbz_c + pyr_c 		  0.00	999999.00	  0.00
CO2t	co2_e  <=> co2_c 		-999999.00	999999.00	  0.00
CO2tg	co2_c  <=> co2_g 		-999999.00	999999.00	  0.00
CO2tm	co2_c  <=> co2_m 		-999999.00	999999.00	  0.00
CO2tn	co2_n  <=> co2_c 		-999999.00	999999.00	  0.00
CO2tp	co2_c  <=> co2_x 		-999999.00	999999.00	  0.00
CHTNDA	chitin_c + h2o_c  -> ac_c + chitos_c + h_c 	YLR307W or YLR308W	  0.00	999999.00	  0.00
CHTNS	udpacgal_c  -> chitin_c + h_c + udp_c 	YNL192W or YBR038W or YBR023C	  0.00	999999.00	  0.00
CITt2r	cit_e + h_e  <=> cit_c + h_c 		-999999.00	999999.00	  0.00
CO2tv	co2_c  <=> co2_v 		-999999.00	999999.00	  0.00
COAHLp	coa_x + h2o_x  -> 2 h_x + pan4p_x + pap_x 	YLR151C	  0.00	999999.00	  0.00
3OPHB_5tm	3ophb_5_c  <=> 3ophb_5_m 		-999999.00	999999.00	  0.00
COAtim	coa_c  -> coa_m 	YHR002W	  0.00	999999.00	  0.00
CITtam	cit_c + mal__L_m  <=> cit_m + mal__L_c 	YBR291C or UNKNOWN	-999999.00	999999.00	  0.00
CITtap	cit_x + mal__L_c  <=> cit_c + mal__L_x 		-999999.00	999999.00	  0.00
COAtn	coa_c  <=> coa_n 		-999999.00	999999.00	  0.00
4ABUTNtm	4abutn_c  <=> 4abutn_m 		-999999.00	999999.00	  0.00
COUCOAFm	T4hcinnm_m + atp_m + coa_m  -> amp_m + coucoa_m + ppi_m 		  0.00	999999.00	  0.00
CPPPGO	cpppg3_c + 2 h_c + o2_c  -> 2 co2_c + 2 h2o_c + pppg9_c 	YDR044W	  0.00	999999.00	  0.00
4ABUTtm	4abut_c  <=> 4abut_m 		-999999.00	999999.00	  0.00
CRNCARtm	acrn_c + crn_m  -> acrn_m + crn_c 	YOR100C	  0.00	999999.00	  0.00
CRNCARtp	acrn_x + crn_c  -> acrn_c + crn_x 		  0.00	999999.00	  0.00
DCTPD	dctp_c + h2o_c + h_c  -> dutp_c + nh4_c 	YHR144C	  0.00	999999.00	  0.00
DCYTD	dcyt_c + h2o_c + h_c  -> duri_c + nh4_c 	YLR245C	  0.00	999999.00	  0.00
CRNt	crn_e  <=> crn_c 	YBR132C	-999999.00	999999.00	  0.00
4ABZt	4abz_c  <=> 4abz_e 		-999999.00	999999.00	  0.00
CRNtim	crn_m  -> crn_c 		  0.00	999999.00	  0.00
DCYTt2	dcyt_e + h_e  -> dcyt_c + h_c 		  0.00	999999.00	  0.00
CRNtp	crn_c  -> crn_x 		  0.00	999999.00	  0.00
4ABZtm	4abz_c  <=> 4abz_m 		-999999.00	999999.00	  0.00
CSNATm	acrn_m + coa_m  <=> accoa_m + crn_m 	YML042W	-999999.00	999999.00	  0.00
DDPA	e4p_c + h2o_c + pep_c  -> 2dda7p_c + pi_c 	YBR249C or YDR035W	  0.00	999999.00	  0.00
DDPAm	e4p_m + h2o_m + pep_m  -> 2dda7p_m + pi_m 	YDR035W	  0.00	999999.00	  0.00
DESAT14	h_c + nadph_c + o2_c + tdcoa_c  -> 2 h2o_c + nadp_c + tdecoa_c 		  0.00	999999.00	  0.00
DESAT16	h_c + pmtcoa_c + nadph_c + o2_c  -> 2 h2o_c + hdcoa_c + nadp_c 	YGL055W	  0.00	999999.00	  0.00
DESAT18	h_c + nadph_c + o2_c + stcoa_c  -> 2 h2o_c + nadp_c + odecoa_c 	YGL055W	  0.00	999999.00	  0.00
CSNATp	accoa_x + crn_x  <=> acrn_x + coa_x 	YML042W	-999999.00	999999.00	  0.00
CSNATr	accoa_c + crn_c  <=> acrn_c + coa_c 	YAR035W or YER024W	-999999.00	999999.00	  0.00
CSND	csn_c + h2o_c + h_c  -> nh4_c + ura_c 	YPR062W	  0.00	999999.00	  0.00
CSNt2	csn_e + h_e  -> csn_c + h_c 	YER056C or YER060W or YER060W_A or YGL186C	  0.00	999999.00	  0.00
CSm	accoa_m + h2o_m + oaa_m  -> cit_m + coa_m + h_m 	YNR001C or YPR001W	  0.00	999999.00	  0.00
DESAT18_2	h_c + nadph_c + odecoa_c + o2_c  -> 2 h2o_c + nadp_c + ocdycacoa_c 		  0.00	999999.00	  0.00
DGDPtn	dgdp_c  <=> dgdp_n 		-999999.00	999999.00	  0.00
CSp	accoa_x + h2o_x + oaa_x  -> cit_x + coa_x + h_x 	YCR005C	  0.00	999999.00	  0.00
DGGH	6dg_c + h2o_c  -> gal_c + glc__D_c 	YJL221C	  0.00	999999.00	  0.00
4H2OGLTtm	4h2oglt_c  <=> 4h2oglt_m 		-999999.00	999999.00	  0.00
DGK1	dgmp_c + atp_c  <=> adp_c + dgdp_c 	YDR454C	-999999.00	999999.00	  0.00
DGSNt2	dgsn_e + h_e  -> dgsn_c + h_c 		  0.00	999999.00	  0.00
CTPS1	atp_c + nh4_c + utp_c  -> adp_c + ctp_c + 2 h_c + pi_c 	YBL039C or YJR103W	  0.00	999999.00	  0.00
CTPS2	atp_c + gln__L_c + h2o_c + utp_c  -> adp_c + ctp_c + glu__L_c + 2 h_c + pi_c 	YBL039C or YJR103W	  0.00	999999.00	  0.00
CTPtm	cmp_m + ctp_c + 2 h_c  -> cmp_c + ctp_m + 2 h_m 	YBR192W	  0.00	999999.00	  0.00
DHAD1m	23dhmb_m  -> 3mob_m + h2o_m 	YJR016C	  0.00	999999.00	  0.00
4H2OGLTtp	4h2oglt_c  <=> 4h2oglt_x 		-999999.00	999999.00	  0.00
DHAD2m	23dhmp_m  -> 3mop_m + h2o_m 	YJR016C	  0.00	999999.00	  0.00
DHAK	atp_c + dha_c  -> adp_c + dhap_c + h_c 	YML070W or YFL053W	  0.00	999999.00	  0.00
CYOOm	4 focytc_m + 6 h_m + o2_m  -> 4 ficytc_m + 2 h2o_m + 6 h_c 	(( Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YLR038C and YLR395C and YMR256C and YNL052W ) and YEL039C ) or (( Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YLR038C and YLR395C and YMR256C and YNL052W ) and YJR048W ) or (( Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YIL111W and YLR038C and YLR395C and YMR256C ) and YJR048W ) or (( Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YIL111W and YLR038C and YLR395C and YMR256C ) and YEL039C )	  0.00	999999.00	  0.00
CYOR_u6m	2 ficytc_m + 1.5 h_m + q6h2_m  -> 2 focytc_m + 1.5 h_c + q6_m 	(( Q0105 and YBL045C and YDR529C and YEL024W and YFR033C and YGR183C and YHR001W_A and YJL166W and YOR065W and YPR191W ) and YEL039C ) or (( Q0105 and YBL045C and YDR529C and YEL024W and YFR033C and YGR183C and YHR001W_A and YJL166W and YOR065W and YPR191W ) and YJR048W )	  0.00	999999.00	  0.00
DHAPtm	dhap_m  -> dhap_c 		  0.00	999999.00	  0.00
DHFR	dhf_c + h_c + nadph_c  -> nadp_c + thf_c 	YOR236W	  0.00	999999.00	  0.00
CYSS	acser_c + h2s_c  -> ac_c + cys__L_c + h_c 	YGR012W	  0.00	999999.00	  0.00
4HBZCOAFm	coa_m + coucoa_m + h2o_m + nad_m  -> 4hbzcoa_m + accoa_m + h_m + nadh_m 		  0.00	999999.00	  0.00
CYSTGL	cyst__L_c + h2o_c  -> 2obut_c + cys__L_c + nh4_c 	YAL012W	  0.00	999999.00	  0.00
CYSTL	cyst__L_c + h2o_c  -> hcys__L_c + nh4_c + pyr_c 	YFR055W	  0.00	999999.00	  0.00
CYSTLp	cyst__L_x + h2o_x  -> hcys__L_x + nh4_x + pyr_x 	YGL184C	  0.00	999999.00	  0.00
CYSTRS	atp_c + cys__L_c + trnacys_c  -> amp_c + cystrna_c + ppi_c 	YNL247W	  0.00	999999.00	  0.00
CYSTS	hcys__L_c + ser__L_c  -> cyst__L_c + h2o_c 	YGR155W	  0.00	999999.00	  0.00
DHFRim	dhf_m + h_m + nadph_m  -> nadp_m + thf_m 	YOR236W	  0.00	999999.00	  0.00
DHFS	atp_c + dhpt_c + glu__L_c  -> adp_c + dhf_c + h_c + pi_c 		  0.00	999999.00	  0.00
DHFtm	dhf_c  <=> dhf_m 		-999999.00	999999.00	  0.00
DHNPAm	dhnpt_m  -> 2ahhmp_m + gcald_m + h_m 	YNL256W	  0.00	999999.00	  0.00
DHNPTtm	dhnpt_c  <=> dhnpt_m 		-999999.00	999999.00	  0.00
DHORD4i	dhor__S_c + q6_m  -> orot_c + q6h2_m 	YKL216W	  0.00	999999.00	  0.00
DHORDfum	dhor__S_c + fum_c  -> orot_c + succ_c 	YKL216W	  0.00	999999.00	  0.00
CYSTtp	cyst__L_c  <=> cyst__L_x 		-999999.00	999999.00	  0.00
CYSt2r	cys__L_e + h_e  <=> cys__L_c + h_c 	YKR039W or YDR508C or YBR068C or YDR046C or YBR069C or YOL020W	-999999.00	999999.00	  0.00
CYTD	cytd_c + h2o_c + h_c  -> nh4_c + uri_c 	YLR245C	  0.00	999999.00	  0.00
CYTDK2	cytd_c + gtp_c  -> cmp_c + gdp_c + h_c 	YNR012W	  0.00	999999.00	  0.00
DHORDi	dhor__S_c + o2_c  -> h2o2_c + orot_c 	YKL216W	  0.00	999999.00	  0.00
DHORTS	dhor__S_c + h2o_c  <=> cbasp_c + h_c 	YLR420W or YJL130C	-999999.00	999999.00	  0.00
4HBZFm	4hbzcoa_m + h2o_m  -> 4hbz_m + coa_m + h_m 		  0.00	999999.00	  0.00
DHPSm	2ahhmp_m + 4abz_m  -> dhpt_m + h2o_m 	YNL256W	  0.00	999999.00	  0.00
DHPTtm	dhpt_c  <=> dhpt_m 		-999999.00	999999.00	  0.00
DHQS	2dda7p_c  -> 3dhq_c + pi_c 	YDR127W	  0.00	999999.00	  0.00
DHQTi	3dhq_c  -> 3dhsk_c + h2o_c 	YDR127W	  0.00	999999.00	  0.00
CYTDt2	cytd_e + h_e  -> cytd_c + h_c 	YAL022C	  0.00	999999.00	  0.00
CYTK1	cmp_c + atp_c  <=> adp_c + cdp_c 		-999999.00	999999.00	  0.00
CYTK2	dcmp_c + atp_c  <=> adp_c + dcdp_c 		-999999.00	999999.00	  0.00
DADA	dad_2_c + h2o_c + h_c  -> din_c + nh4_c 	YNL141W	  0.00	999999.00	  0.00
DADK	atp_c + damp_c  <=> adp_c + dadp_c 		-999999.00	999999.00	  0.00
DIAT	accoa_c + sprm_c  -> N1sprm_c + coa_c + h_c 		  0.00	999999.00	  0.00
DINSt2	din_e + h_e  -> din_c + h_c 		  0.00	999999.00	  0.00
DADNt2	dad_2_e + h_e  -> dad_2_c + h_c 		  0.00	999999.00	  0.00
DIPS	caphis_c + amet_c  -> ahcys_c + cmaphis_c + h_c 	YLR172C	  0.00	999999.00	  0.00
DADPtn	dadp_c  <=> dadp_n 		-999999.00	999999.00	  0.00
4HBZtm	4hbz_c  <=> 4hbz_m 		-999999.00	999999.00	  0.00
DAGCPT_SC	0.01 12dgr_SC_c + cdpchol_c  -> cmp_c + h_c + 0.01 pc_SC_c 	YNL130C or YHR123W	  0.00	999999.00	  0.00
DAGPYP_SC	h2o_c + 0.01 pa_SC_c  -> 0.01 12dgr_SC_c + pi_c 	YDR503C or YDR284C	  0.00	999999.00	  0.00
DKMPPD2	dkmpp_c + 3 h2o_c  -> 2kmb_c + for_c + 6 h_c + pi_c 	YMR009W and YEL038W	  0.00	999999.00	  0.00
DMATT	dmpp_c + ipdp_c  -> grdp_c + ppi_c 	YJL167W	  0.00	999999.00	  0.00
DNMPPA	dhpmp_c + h2o_c  -> dhnpt_c + pi_c 	YDL100C	  0.00	999999.00	  0.00
DNTPPA	ahdt_c + h2o_c  -> dhpmp_c + h_c + ppi_c 		  0.00	999999.00	  0.00
DOLK	ctp_c + dolichol_c  -> cdp_c + dolp_c + h_c 	YMR013C	  0.00	999999.00	  0.00
DOLPMMer	dolmanp_r  -> dolp_r + h_r + mannan_r 	( YDL095W and YAL023C ) or YOR321W or YJR143C or YDL093W or YGR199W	  0.00	999999.00	  0.00
DANNt2	dann_e + h_e  <=> dann_c + h_c 		-999999.00	999999.00	  0.00
DASYN_SC	ctp_c + h_c + 0.01 pa_SC_c  <=> 0.01 cdpdag_SC_c + ppi_c 	YBR029C	-999999.00	999999.00	  0.00
DASYNm_SC	ctp_m + h_m + 0.01 pa_SC_m  <=> 0.01 cdpdag_SC_m + ppi_m 	YBR029C	-999999.00	999999.00	  0.00
DB4PS	ru5p__D_c  -> for_c + db4p_c + h_c 	YDR487C	  0.00	999999.00	  0.00
DBTS	atp_c + co2_c + dann_c  <=> adp_c + dtbt_c + 3 h_c + pi_c 	YNR057C	-999999.00	999999.00	  0.00
DCDPtn	dcdp_c  <=> dcdp_n 		-999999.00	999999.00	  0.00
DCMPDA	dcmp_c + h2o_c + h_c  <=> dump_c + nh4_c 	YHR144C	-999999.00	999999.00	  0.00
DOLPMTcer	dolp_c + gdpmann_c  -> dolmanp_r + gdp_c 	YPR183W	  0.00	999999.00	  0.00
DOLPt2er	dolp_c + h_c  <=> dolp_r + h_r 		-999999.00	999999.00	  0.00
4HGLSDm	4hglusa_m + h2o_m + nad_m  <=> e4hglu_m + 2 h_m + nadh_m 	YHR037W	-999999.00	999999.00	  0.00
DPCOAK	atp_c + dpcoa_c  -> adp_c + coa_c + h_c 		  0.00	999999.00	  0.00
DPCOAKm	atp_m + dpcoa_m  -> adp_m + coa_m + h_m 		  0.00	999999.00	  0.00
DPGM	13dpg_c  <=> 23dpg_c + h_c 	YKL152C	-999999.00	999999.00	  0.00
DPMVD	5dpmev_c + atp_c  -> adp_c + co2_c + ipdp_c + pi_c 	YNR043W	  0.00	999999.00	  0.00
ECOAH4p	3hdcoa_x  <=> dc2coa_x + h2o_x 	YKR009C	-999999.00	999999.00	  0.00
ECOAH5p	3hddcoa_x  <=> dd2coa_x + h2o_x 	YKR009C	-999999.00	999999.00	  0.00
DPR	2dhp_c + h_c + nadph_c  -> nadp_c + pant__R_c 	YHR063C	  0.00	999999.00	  0.00
4HPRO_LTtm	4hpro_LT_c  <=> 4hpro_LT_m 		-999999.00	999999.00	  0.00
DPRm	2dhp_m + h_m + nadph_m  -> nadp_m + pant__R_m 	YLR355C	  0.00	999999.00	  0.00
ECOAH6p	3htdcoa_x  <=> h2o_x + td2coa_x 	YKR009C	-999999.00	999999.00	  0.00
DRBK	atp_c + drib_c  -> 2dr5p_c + adp_c + h_c 	YCR036W	  0.00	999999.00	  0.00
ECOAH7p	3hhdcoa_x  <=> h2o_x + hdd2coa_x 	YKR009C	-999999.00	999999.00	  0.00
ECOAH8p	3hodcoa_x  <=> h2o_x + od2coa_x 	YKR009C	-999999.00	999999.00	  0.00
DROPPRy	25dhpp_c + h_c + nadph_c  -> 25dthpp_c + nadp_c 	YBR153W	  0.00	999999.00	  0.00
4HTHRS	h2o_c + phthr_c  -> 4hthr_c + pi_c 	YCR053W	  0.00	999999.00	  0.00
DRTPPD	25dthpp_c + h2o_c + h_c  -> 5aprbu_c + nh4_c 	YOL066C	  0.00	999999.00	  0.00
EHGLAT	akg_c + e4hglu_c  -> 4h2oglt_c + glu__L_c 	YLR027C	  0.00	999999.00	  0.00
EHGLATm	akg_m + e4hglu_m  -> 4h2oglt_m + glu__L_m 	YKL106W	  0.00	999999.00	  0.00
EHGLATp	akg_x + e4hglu_x  -> 4h2oglt_x + glu__L_x 	YLR027C	  0.00	999999.00	  0.00
ENO	2pg_c  <=> h2o_c + pep_c 	YPL281C or YGR254W or YHR174W or YOR393W or YMR323W	-999999.00	999999.00	  0.00
EPGALURSe	h2o_e + pectin_e  -> galur_e 	YJR153W	  0.00	999999.00	  0.00
EPISTAT_SC	0.01 epist_c + 0.655 hdcoa_c + 0.01 hexccoa_c + 0.02 pmtcoa_c + 0.27 odecoa_c + 0.03 stcoa_c + 0.015 tdcoa_c  -> coa_c + 0.01 epistest_SC_c 	YCR048W	  0.00	999999.00	  0.00
DTMPK	atp_c + dtmp_c  <=> adp_c + dtdp_c 	YJR057W	-999999.00	999999.00	  0.00
DTTPt	dttp_e  <=> dttp_c 		-999999.00	999999.00	  0.00
DUMPtn	dump_c  <=> dump_n 		-999999.00	999999.00	  0.00
DURIK1	atp_c + duri_c  -> adp_c + dump_c + h_c 		  0.00	999999.00	  0.00
DURIPP	duri_c + pi_c  <=> 2dr1p_c + ura_c 	YLR209C	-999999.00	999999.00	  0.00
DURIt2	duri_e + h_e  -> duri_c + h_c 		  0.00	999999.00	  0.00
DUTPDP	dutp_c + h2o_c  -> dump_c + h_c + ppi_c 	YBR252W	  0.00	999999.00	  0.00
EPISTESTH_SC	0.01 epistest_SC_c + h2o_c  -> 0.01 epist_c + h_c + 0.02 hdca_c + 0.655 hdcea_c + 0.01 hexc_c + 0.03 ocdca_c + 0.27 ocdcea_c + 0.015 ttdca_c 	YLL012W or YKL140W	  0.00	999999.00	  0.00
EPISTESTH_SCe	0.01 epistest_SC_e + h2o_e  -> 0.01 epist_e + h_e + 0.02 hdca_e + 0.655 hdcea_e + 0.01 hexc_e + 0.03 ocdca_e + 0.27 ocdcea_e + 0.015 ttdca_e 	YLR020C	  0.00	999999.00	  0.00
EPISTt	epist_e  <=> epist_c 	YOR011W or YIL013C	-999999.00	999999.00	  0.00
DXHPScm	h2o_c + spmd_c + q6_m  -> 13dampp_c + 4abutn_c + q6h2_m 	YHR068W	  0.00	999999.00	  0.00
D_LACDcm	2 ficytc_m + lac__D_c  -> 2 focytc_m + pyr_c 	( YJR048W and YDL174C ) or ( YEL039C and YDL174C ) or ( YJR048W and YEL071W ) or ( YEL039C and YEL071W )	  0.00	999999.00	  0.00
EPMGH	epm_c + h2o_c  <=> gal_c + man_c 	YBR184W	-999999.00	999999.00	  0.00
4MOPDC	4mop_c + h_c  -> 3mbald_c + co2_c 	YDL080C or YDR380W	  0.00	999999.00	  0.00
ERGSTAT_SC	0.01 ergst_c + 0.655 hdcoa_c + 0.01 hexccoa_c + 0.02 pmtcoa_c + 0.27 odecoa_c + 0.03 stcoa_c + 0.015 tdcoa_c  -> coa_c + 0.01 ergstest_SC_c 	YCR048W or YNR019W	  0.00	999999.00	  0.00
ERGSTESTH_SC	0.01 ergstest_SC_c + h2o_c  -> 0.01 ergst_c + h_c + 0.02 hdca_c + 0.655 hdcea_c + 0.01 hexc_c + 0.03 ocdca_c + 0.27 ocdcea_c + 0.015 ttdca_c 	YKL140W or YLL012W	  0.00	999999.00	  0.00
