Rxn name	Formula	Gene-reaction association	LB	UB	Objective
2OXOADPtim	2oxoadp_m  -> 2oxoadp_c 		  0.00	999999.00	  0.00
ACHBSm	2obut_m + h_m + pyr_m  -> 2ahbut_m + co2_m 	YCL009C and YMR108W	  0.00	999999.00	  0.00
ACHLE1	iamac_c + h2o_c  -> ac_c + iamoh_c + h_c 	YOR126C	  0.00	999999.00	  0.00
2PHETOHt	2phetoh_e  <=> 2phetoh_c 		-999999.00	999999.00	  0.00
ACHLE2	ibutac_c + h2o_c  -> ac_c + ibutoh_c + h_c 	YOR126C	  0.00	999999.00	  0.00
ACHLE3	aces_c + h2o_c  -> ac_c + etoh_c + h_c 	YOR126C	  0.00	999999.00	  0.00
ACLSm	h_m + 2 pyr_m  -> alac__S_m + co2_m 	YCL009C and YMR108W	  0.00	999999.00	  0.00
2PHETOHtm	2phetoh_m  <=> 2phetoh_c 		-999999.00	999999.00	  0.00
ACOAHim	accoa_m + h2o_m  -> ac_m + coa_m + h_m 	YBL015W	  0.00	999999.00	  0.00
34HPLFM	34hpp_m + h_m + nadh_m  -> 34hpl_m + nad_m 		  0.00	999999.00	  0.00
ACOAO4p	dcacoa_x + o2_x  -> dc2coa_x + h2o2_x 	YGL205W	  0.00	999999.00	  0.00
AICART	10fthf_c + aicar_c  <=> fprica_c + thf_c 	YLR028C or YMR120C	-999999.00	999999.00	  0.00
AIRCr	air_c + co2_c  <=> 5aizc_c + h_c 	YOR128C	-999999.00	999999.00	  0.00
AKGDam	akg_m + h_m + lpam_m  <=> co2_m + sdhlam_m 	YIL125W and YDR148C and YFL018C	-999999.00	999999.00	  0.00
AKGDbm	coa_m + sdhlam_m  -> dhlam_m + succoa_m 	YIL125W and YDR148C and YFL018C	  0.00	999999.00	  0.00
ACOAO5p	ddcacoa_x + o2_x  -> dd2coa_x + h2o2_x 	YGL205W	  0.00	999999.00	  0.00
ACOAO6p	o2_x + tdcoa_x  -> h2o2_x + td2coa_x 	YGL205W	  0.00	999999.00	  0.00
ACOAO7p	o2_x + pmtcoa_x  -> h2o2_x + hdd2coa_x 	YGL205W	  0.00	999999.00	  0.00
ACOAO8p	o2_x + stcoa_x  -> h2o2_x + od2coa_x 	YGL205W	  0.00	999999.00	  0.00
ACOAO9p	hexccoa_x + o2_x  -> hxc2coa_x + h2o2_x 	YGL205W	  0.00	999999.00	  0.00
AKGMAL	akg_c + mal__L_e  <=> akg_e + mal__L_c 		-999999.00	999999.00	  0.00
AKGt2n	akg_c + h_c  <=> akg_n + h_n 		-999999.00	999999.00	  0.00
AKGt2r	akg_e + h_e  <=> akg_c + h_c 		-999999.00	999999.00	  0.00
34HPPOR	34hpp_c + o2_c  -> co2_c + hgentis_c 		  0.00	999999.00	  0.00
AKGtp	akg_c  <=> akg_x 		-999999.00	999999.00	  0.00
AKP1	ahdt_c + 3 h2o_c  -> dhnpt_c + 2 h_c + 3 pi_c 	YDR481C	  0.00	999999.00	  0.00
ALASm	gly_m + h_m + succoa_m  -> 5aop_m + co2_m + coa_m 	YDR232W	  0.00	999999.00	  0.00
ALATA_L	akg_c + ala__L_c  <=> glu__L_c + pyr_c 	YDR111C	-999999.00	999999.00	  0.00
ALATA_Lm	akg_m + ala__L_m  <=> glu__L_m + pyr_m 	YLR089C	-999999.00	999999.00	  0.00
ACOATA	ACP_c + accoa_c  <=> acACP_c + coa_c 	YKL182W and YPL231W	-999999.00	999999.00	  0.00
ACOATAm	ACP_m + accoa_m  <=> acACP_m + coa_m 	YKL192C and YER061C and YHR067W and YOR221C and YBR026C and YKL055C	-999999.00	999999.00	  0.00
ACON3MT	acon_T_c + amet_c  -> ahcys_c + acon5m_c 	YER175C	  0.00	999999.00	  0.00
ALATRS	ala__L_c + atp_c + trnaala_c  -> alatrna_c + amp_c + ppi_c 	YOR335C	  0.00	999999.00	  0.00
34HPPt2m	34hpp_c + h_c  <=> 34hpp_m + h_m 		-999999.00	999999.00	  0.00
ALAt2r	ala__L_e + h_e  <=> ala__L_c + h_c 	YKR039W or YPL265W or YCL025C or YOL020W or YOR348C	-999999.00	999999.00	  0.00
ALAtmi	ala__L_m  -> ala__L_c 		  0.00	999999.00	  0.00
ACONT	cit_c  <=> icit_c 	YLR304C	-999999.00	999999.00	  0.00
ACONT3m	2mcit_m  <=> micit_m 	YPR002W	-999999.00	999999.00	  0.00
ACONTm	cit_m  <=> icit_m 	YLR304C or YJL200C	-999999.00	999999.00	  0.00
ACOTAim	acg5sa_m + glu__L_m  -> acorn_m + akg_m 	YOL140W	  0.00	999999.00	  0.00
ALCD19y	h_c + glyald_c + nadph_c  -> glyc_c + nadp_c 	YHR104W or YDR368W	  0.00	999999.00	  0.00
ALCD22xi	2mbald_c + h_c + nadh_c  -> 2mbtoh_c + nad_c 	YBR145W or YMR303C or YDL168W or YGL256W or YOL086C	  0.00	999999.00	  0.00
ALCD22xim	2mbald_m + h_m + nadh_m  -> 2mbtoh_m + nad_m 	YMR083W	  0.00	999999.00	  0.00
34HPPt2p	34hpp_c + h_c  <=> 34hpp_x + h_x 		-999999.00	999999.00	  0.00
ALCD22yi	2mbald_c + h_c + nadph_c  -> 2mbtoh_c + nadp_c 	YDR368W or YMR318C or YBR036C	  0.00	999999.00	  0.00
ALCD23xi	2mppal_c + h_c + nadh_c  -> ibutoh_c + nad_c 	YGL256W or YBR145W or YDL168W or YOL086C or YMR303C	  0.00	999999.00	  0.00
ALCD23xim	2mppal_m + h_m + nadh_m  -> ibutoh_m + nad_m 	YMR083W	  0.00	999999.00	  0.00
ALCD23yi	2mppal_c + h_c + nadph_c  -> ibutoh_c + nadp_c 	YBR036C or YMR318C	  0.00	999999.00	  0.00
ALCD24xi	3mbald_c + h_c + nadh_c  -> iamoh_c + nad_c 	YDL168W or YGL256W or YMR303C or YOL086C or YBR145W	  0.00	999999.00	  0.00
ALCD24xim	3mbald_m + h_m + nadh_m  -> iamoh_m + nad_m 	YMR083W	  0.00	999999.00	  0.00
ACP1e	fmn_e + h2o_e  -> pi_e + ribflv_e 	YBR093C or YAR071W	  0.00	999999.00	  0.00
ACPSm	coa_m + h2o_m  -> 2 h_m + pan4p_m + pap_m 	YPL148C	  0.00	999999.00	  0.00
ACRNtm	acrn_c  -> acrn_m 		  0.00	999999.00	  0.00
ACRNtp	acrn_x  -> acrn_c 		  0.00	999999.00	  0.00
ACS	ac_c + atp_c + coa_c  -> accoa_c + amp_c + ppi_c 	YLR153C	  0.00	999999.00	  0.00
ACSm	ac_m + atp_m + coa_m  -> accoa_m + amp_m + ppi_m 	YAL054C	  0.00	999999.00	  0.00
ACSp	ac_x + atp_x + coa_x  -> accoa_x + amp_x + ppi_x 	YAL054C	  0.00	999999.00	  0.00
ACt2r	ac_e + h_e  <=> ac_c + h_c 	YCR032W	-999999.00	999999.00	  0.00
ALCD24yi	3mbald_c + h_c + nadph_c  -> iamoh_c + nadp_c 	YMR318C or YBR036C	  0.00	999999.00	  0.00
ALCD25xi	h_c + nadh_c + pacald_c  -> 2phetoh_c + nad_c 	YGL256W or YMR303C or YDL168W or YOL086C or YBR145W	  0.00	999999.00	  0.00
ALCD25xim	h_m + nadh_m + pacald_m  -> 2phetoh_m + nad_m 	YMR083W	  0.00	999999.00	  0.00
ALCD25yi	h_c + nadph_c + pacald_c  -> 2phetoh_c + nadp_c 	YMR318C or YBR036C	  0.00	999999.00	  0.00
ACtm	ac_c  <=> ac_m 		-999999.00	999999.00	  0.00
3C3HMPt	3c3hmp_c  <=> 3c3hmp_e 		-999999.00	999999.00	  0.00
ACtp	ac_c  <=> ac_x 		-999999.00	999999.00	  0.00
ACtr	ac_e  <=> ac_c 	YCR010C	-999999.00	999999.00	  0.00
ADA	adn_c + h2o_c + h_c  -> ins_c + nh4_c 	YNL141W	  0.00	999999.00	  0.00
ADCL	4adcho_c  -> 4abz_c + h_c + pyr_c 	YMR289W	  0.00	999999.00	  0.00
ALCD26xi	id3acald_c + h_c + nadh_c  -> ind3eth_c + nad_c 	YGL256W or YDL168W or YMR303C or YBR145W or YOL086C	  0.00	999999.00	  0.00
ALCD26xim	id3acald_m + h_m + nadh_m  -> ind3eth_m + nad_m 	YMR083W	  0.00	999999.00	  0.00
ALCD2x_copy1	etoh_c + nad_c  -> acald_c + h_c + nadh_c 	YMR303C	  0.00	999999.00	  0.00
ALCD2ir	acald_c + h_c + nadh_c  -> etoh_c + nad_c 	YOL086C or YGL256W or YBR145W	  0.00	999999.00	  0.00
ALCD2irm	acald_m + h_m + nadh_m  -> etoh_m + nad_m 	YMR083W	  0.00	999999.00	  0.00
ADCS	chor_c + gln__L_c  -> 4adcho_c + glu__L_c 	YNR033W	  0.00	999999.00	  0.00
3C3HMPtm	3c3hmp_c  <=> 3c3hmp_m 		-999999.00	999999.00	  0.00
ADD	ade_c + h2o_c + h_c  -> hxan_c + nh4_c 	YNL141W	  0.00	999999.00	  0.00
ADEt2	ade_e + h_e  -> ade_c + h_c 	YER056C or YER060W or YER060W_A or YGL186C	  0.00	999999.00	  0.00
ADEtm	ade_c  <=> ade_m 		-999999.00	999999.00	  0.00
ADHAPR_SC	0.01 1agly3p_SC_c + h_c + nadph_c  -> 0.01 1ag3p_SC_c + nadp_c 	YIL124W	  0.00	999999.00	  0.00
ADK1	amp_c + atp_c  <=> 2 adp_c 	YDR226W	-999999.00	999999.00	  0.00
ADK1m	amp_m + atp_m  <=> 2 adp_m 	YER170W	-999999.00	999999.00	  0.00
ADK3	amp_c + gtp_c  <=> adp_c + gdp_c 	YDR226W	-999999.00	999999.00	  0.00
ALCD2x_copy2	etoh_c + nad_c  <=> acald_c + h_c + nadh_c 	YDL168W	-999999.00	999999.00	  0.00
ALDD19xr	h2o_c + nad_c + pacald_c  -> 2 h_c + nadh_c + pac_c 	YMR170C or YMR169C	  0.00	999999.00	  0.00
ALDD20xm	id3acald_m + h2o_m + nad_m  -> ind3ac_m + 2 h_m + nadh_m 	YOR374W	  0.00	999999.00	  0.00
ALDD20y	h2o_c + id3acald_c + nadp_c  -> 2 h_c + ind3ac_c + nadph_c 	YPL061W	  0.00	999999.00	  0.00
ALDD20ym	id3acald_m + h2o_m + nadp_m  -> ind3ac_m + 2 h_m + nadph_m 	YOR374W or YER073W	  0.00	999999.00	  0.00
ALDD22x	aproa_c + h2o_c + nad_c  -> ala_B_c + 2 h_c + nadh_c 	YMR170C or YMR169C	  0.00	999999.00	  0.00
ALDD2xm	acald_m + h2o_m + nad_m  -> ac_m + 2 h_m + nadh_m 	YOR374W	  0.00	999999.00	  0.00
ALDD2y	acald_c + h2o_c + nadp_c  -> ac_c + 2 h_c + nadph_c 	YPL061W	  0.00	999999.00	  0.00
ALDD2ym	acald_m + h2o_m + nadp_m  -> ac_m + 2 h_m + nadph_m 	YER073W or YOR374W	  0.00	999999.00	  0.00
ADK3m	amp_m + gtp_m  <=> adp_m + gdp_m 	YER170W	-999999.00	999999.00	  0.00
ADK4	amp_c + itp_c  <=> adp_c + idp_c 	YDR226W	-999999.00	999999.00	  0.00
ADK4m	amp_m + itp_m  <=> adp_m + idp_m 	YER170W	-999999.00	999999.00	  0.00
ADMDC	amet_c + h_c  -> ametam_c + co2_c 	YOL052C	  0.00	999999.00	  0.00
ADNCYC	atp_c  -> camp_c + ppi_c 	YJL005W	  0.00	999999.00	  0.00
ADNK1	adn_c + atp_c  -> adp_c + amp_c + h_c 	YJR105W	  0.00	999999.00	  0.00
ADNUC	adn_c + h2o_c  -> ade_c + rib__D_c 	YDR400W	  0.00	999999.00	  0.00
ALLTAHr	alltt_c + h2o_c  <=> urdglyc_c + urea_c 	YIR029W	-999999.00	999999.00	  0.00
ALLTN	alltn_c + h2o_c  <=> alltt_c + h_c 	YIR027C	-999999.00	999999.00	  0.00
ALLTNti	alltn_e  -> alltn_c 	YIR028W	  0.00	999999.00	  0.00
ALLTTti	alltt_e  -> alltt_c 	YJR152W	  0.00	999999.00	  0.00
ADNt2	adn_e + h_e  -> adn_c + h_c 	YAL022C	  0.00	999999.00	  0.00
3C4MOPtm	3c4mop_c  <=> 3c4mop_m 		-999999.00	999999.00	  0.00
ADPT	ade_c + prpp_c  -> amp_c + ppi_c 	YML022W or YDR441C	  0.00	999999.00	  0.00
ADSK	aps_c + atp_c  -> adp_c + h_c + paps_c 	YKL001C	  0.00	999999.00	  0.00
ALPHNH	allphn_c + h2o_c + 3 h_c  -> 2 co2_c + 2 nh4_c 	YBR208C	  0.00	999999.00	  0.00
AMAOTr	8aonn_c + amet_c  <=> amob_c + dann_c 	YNR058W	-999999.00	999999.00	  0.00
ADSL1r	dcamp_c  <=> amp_c + fum_c 	YLR359W	-999999.00	999999.00	  0.00
AMETt2	amet_e + h_e  -> amet_c + h_c 	YPL274W	  0.00	999999.00	  0.00
3DH5HPBMTm	3dh5hpb_m + amet_m  -> 3hph5mb_m + ahcys_m + h_m 	YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C	  0.00	999999.00	  0.00
AMETtm	amet_c  <=> amet_m 	YNL003C	-999999.00	999999.00	  0.00
